innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,binlog_row_image,binlog_transaction_compression,tps,workload,num_table,table_size,num_client,slave_parallel_workers,rpl_semi_sync_slave_enabled,slave_parallel_type
1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,190.71,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,192.50,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,188.62,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,194.62,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,190.73,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,188.76,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,187.90,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,188.83,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,189.13,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,191.42,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,192.09,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,189.71,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,189.59,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,190.88,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.87,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,193.99,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,189.61,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,193.00,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.98,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,191.28,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,192.26,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,191.93,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,187.74,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,195.32,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
9GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,189.08,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,100,1,25,100,48MB,4000,full,OFF,193.32,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.31,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,full,OFF,191.04,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
12GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,full,OFF,194.05,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,191.66,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,189.76,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,195.17,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,190.56,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.70,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,190.74,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,192.11,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
2GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,191.19,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.07,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,190.82,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,187.97,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
3GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,192.31,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,189.02,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,188.35,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,191.41,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
4GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,194.85,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,193.06,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,full,OFF,194.56,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,full,OFF,189.70,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
6GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,full,OFF,190.64,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
8GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,full,OFF,190.19,oltp_read_write,64,1000000,4,4,ON,LOGICAL_CLOCK
