id,innodb_buffer_pool_size,innodb_read_io_threads,innodb_write_io_threads,innodb_flush_log_at_trx_commit,innodb_adaptive_hash_index,sync_binlog,innodb_lru_scan_depth,innodb_buffer_pool_instances,innodb_change_buffer_max_size,innodb_io_capacity,innodb_log_file_size,table_open_cache,tps,workload_label
194,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,277.29,64-1000000-4-oltp_write_only-0.6
195,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,472.99,64-1000000-4-oltp_write_only-1.0
196,2GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,480.95,64-1000000-4-oltp_write_only-1.0
197,3GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,486.36,64-1000000-4-oltp_write_only-1.0
198,4GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,490.91,64-1000000-4-oltp_write_only-1.0
199,1GB,1,2,1,ON,1,1024,1,25,100,48MB,4000,471.84,64-1000000-4-oltp_write_only-1.0
200,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,474.84,64-1000000-4-oltp_write_only-1.0
201,1GB,2,1,1,ON,1,1024,1,25,100,48MB,4000,419.89,64-1000000-4-oltp_write_only-1.0
202,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,477.03,64-1000000-4-oltp_write_only-1.0
203,1GB,2,2,0,ON,1,1024,1,25,100,48MB,4000,613.1,64-1000000-4-oltp_write_only-1.0
204,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,485.5,64-1000000-4-oltp_write_only-1.0
205,1GB,2,2,2,ON,1,1024,1,25,100,48MB,4000,598.7,64-1000000-4-oltp_write_only-1.0
206,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,479.53,64-1000000-4-oltp_write_only-1.0
207,1GB,2,2,1,OFF,1,1024,1,25,100,48MB,4000,487.65,64-1000000-4-oltp_write_only-1.0
208,1GB,2,2,1,ON,0,1024,1,25,100,48MB,4000,588.64,64-1000000-4-oltp_write_only-1.0
209,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,490.1,64-1000000-4-oltp_write_only-1.0
210,1GB,2,2,1,ON,1,100,1,25,100,48MB,4000,472.19,64-1000000-4-oltp_write_only-1.0
211,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,491.35,64-1000000-4-oltp_write_only-1.0
212,1GB,2,2,1,ON,1,5000,1,25,100,48MB,4000,487.96,64-1000000-4-oltp_write_only-1.0
213,1GB,2,2,1,ON,1,10000,1,25,100,48MB,4000,486.56,64-1000000-4-oltp_write_only-1.0
214,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,473.87,64-1000000-4-oltp_write_only-1.0
215,1GB,2,2,1,ON,1,1024,2,25,100,48MB,4000,447.94,64-1000000-4-oltp_write_only-1.0
216,1GB,2,2,1,ON,1,1024,4,25,100,48MB,4000,453.73,64-1000000-4-oltp_write_only-1.0
217,1GB,2,2,1,ON,1,1024,8,25,100,48MB,4000,456.06,64-1000000-4-oltp_write_only-1.0
218,1GB,2,2,1,ON,1,1024,1,0,100,48MB,4000,459.87,64-1000000-4-oltp_write_only-1.0
219,1GB,2,2,1,ON,1,1024,1,10,100,48MB,4000,492.15,64-1000000-4-oltp_write_only-1.0
220,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,493.81,64-1000000-4-oltp_write_only-1.0
221,1GB,2,2,1,ON,1,1024,1,50,100,48MB,4000,493.92,64-1000000-4-oltp_write_only-1.0
222,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,473.01,64-1000000-4-oltp_write_only-1.0
223,1GB,2,2,1,ON,1,1024,1,25,5000,48MB,4000,480.35,64-1000000-4-oltp_write_only-1.0
224,1GB,2,2,1,ON,1,1024,1,25,10000,48MB,4000,483.95,64-1000000-4-oltp_write_only-1.0
225,1GB,2,2,1,ON,1,1024,1,25,20000,48MB,4000,486.5,64-1000000-4-oltp_write_only-1.0
226,1GB,2,2,1,ON,1,1024,1,25,100,4MB,4000,322.02,64-1000000-4-oltp_write_only-1.0
227,1GB,2,2,1,ON,1,1024,1,25,100,48MB,4000,478.14,64-1000000-4-oltp_write_only-1.0
228,1GB,2,2,1,ON,1,1024,1,25,100,512MB,4000,493.47,64-1000000-4-oltp_write_only-1.0
229,1GB,2,2,1,ON,1,1024,1,25,100,5GB,4000,500.89,64-1000000-4-oltp_write_only-1.0
230,1GB,2,2,1,ON,1,1024,1,25,100,48MB,1,430.38,64-1000000-4-oltp_write_only-1.0
